participantId,role,lane,totalScoreRank,totalPlayerScore,objectivePlayerScore,combatPlayerScore,champLevel,win,assists,deaths,goldEarned,goldSpent,totalDamageDealt,physicalDamageDealt,magicDamageDealt,trueDamageDealt,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,totalTimeCrowdControlDealt,timeCCingOthers,longestTimeSpentLiving,damageSelfMitigated,totalDamageTaken,physicalDamageTaken,magicalDamageTaken,trueDamageTaken,totalHeal,totalUnitsHealed,turretKills,inhibitorKills,damageDealtToTurrets,damageDealtToObjectives,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,kills,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,killingSprees,largestKillingSpree,visionScore,wardsPlaced,wardsKilled,sightWardsBoughtInGame,visionWardsBoughtInGame
5,DUO_SUPPORT,BOTTOM,0,0,0,0,12,False,5,3,6039,5300,17808,5416,8427,3963,5528,1623,3511,394,0,72,22,1015,11245,14644,9063,5580,0,1306,2,0,0,0,295,30,1,1,0,1,0,0,0,0,1,0,0,37,20,5,0,4
6,DUO_CARRY,BOTTOM,0,0,0,0,13,True,4,2,11159,9075,127607,118722,7798,1087,18612,16630,919,1063,1417,44,8,1140,5249,10215,7364,2527,324,3706,3,3,0,8173,13465,184,9,9,0,5,0,0,0,0,1,2,3,27,8,5,0,1
7,SOLO,MIDDLE,0,0,0,0,16,True,5,2,12977,10635,166228,17836,147942,449,24149,1743,21957,449,830,82,4,1022,7771,23270,11635,9560,2074,23896,1,0,0,4325,4325,221,8,7,1,9,1,0,0,0,2,1,7,32,12,1,0,4
8,NONE,JUNGLE,0,0,0,0,14,True,8,1,9191,6700,127190,42783,17419,66987,4561,1014,3309,237,0,587,9,1155,26161,34889,27678,6407,804,22597,5,0,1,2404,32597,20,84,39,45,1,0,0,0,0,1,0,0,38,13,3,0,3
9,SOLO,TOP,0,0,0,0,15,True,9,6,11036,8250,122091,117777,3666,648,13948,11927,1372,648,0,124,12,350,13725,18456,8836,7131,2487,1417,1,2,0,6810,10593,192,0,0,0,4,0,0,0,0,1,1,3,17,11,2,0,2
10,DUO_SUPPORT,BOTTOM,0,0,0,0,12,True,7,3,7841,6775,21093,6882,9984,4227,8058,1116,6893,48,0,138,19,586,15276,14573,8237,5598,736,4172,4,1,0,624,823,31,0,0,0,3,0,0,0,0,1,1,2,41,22,3,0,5
1,SOLO,TOP,0,0,0,0,14,False,8,9,10228,9825,108210,102587,5056,566,12388,11404,863,120,0,166,18,337,19980,33002,19285,13185,532,3771,1,0,0,1430,4059,161,3,0,3,5,0,0,0,0,1,1,3,13,9,1,0,1
2,DUO_SUPPORT,BOTTOM,0,0,0,0,12,False,12,7,8214,7800,29109,5908,22208,991,12008,1052,10955,0,0,261,45,431,6594,12871,6087,6542,242,67,4,0,0,1243,2431,12,2,2,0,2,0,0,0,0,1,0,0,39,21,2,0,4
3,NONE,JUNGLE,0,0,0,0,13,False,8,7,8725,7450,98071,82971,1489,13609,7123,5999,0,1124,466,498,8,397,8367,19746,12176,7529,40,5736,1,0,0,133,3414,60,44,32,12,1,0,0,0,0,1,0,0,14,7,4,0,1
4,NONE,JUNGLE,0,0,0,0,14,False,10,6,11647,10450,152926,8919,119006,25000,19768,850,18917,0,0,390,8,415,3155,15021,4407,10375,238,2387,3,5,0,30975,30975,175,8,7,1,5,0,0,0,0,1,2,2,17,7,0,0,0
5,DUO_CARRY,BOTTOM,0,0,0,0,13,False,4,9,11566,11405,112877,97538,14408,930,14384,13067,1007,310,619,159,6,391,9801,19768,10312,8751,704,1631,2,0,0,804,6956,183,7,6,1,9,3,0,0,0,2,3,3,15,10,1,0,1
6,NONE,JUNGLE,0,0,0,0,15,True,9,4,13778,13625,151960,93360,42030,16569,13524,9975,3357,192,0,567,14,455,18394,24653,15451,8757,444,7942,1,0,0,1976,21539,58,89,61,28,14,3,0,0,0,2,4,5,37,15,4,0,0
7,DUO_SUPPORT,BOTTOM,0,0,0,0,14,True,19,4,9395,8825,18826,5437,12518,870,8026,1129,6070,826,0,107,39,386,17904,18963,9129,9498,336,4755,3,0,1,126,1137,37,0,0,0,2,0,0,0,0,1,0,0,52,23,6,0,3
8,DUO_CARRY,BOTTOM,0,0,0,0,15,True,10,4,13588,13350,129823,13757,115930,136,19749,931,18817,0,0,1003,17,390,8018,14694,6686,7853,154,4859,3,3,0,8142,13308,205,3,3,0,10,2,0,0,0,2,3,3,9,4,2,0,0
9,SOLO,MIDDLE,0,0,0,0,14,True,7,5,10475,10110,81670,17658,62691,1320,14149,1953,11659,536,426,91,13,638,6853,15387,10436,4580,371,3988,1,1,0,615,2450,115,19,6,13,5,0,0,0,0,1,1,4,24,10,3,0,5
10,SOLO,TOP,0,0,0,0,16,True,1,5,12738,12108,171881,137390,33119,1370,19000,13057,5740,202,0,315,11,541,17041,19445,15131,4066,248,3454,1,3,1,8367,8367,198,49,7,42,6,1,0,0,0,2,1,5,16,9,1,0,1
1,DUO_SUPPORT,BOTTOM,0,0,0,0,12,False,9,7,7627,7175,19262,8548,3332,7381,5799,3693,1713,392,0,169,32,375,26706,16858,9622,6747,488,1540,4,0,0,0,0,48,0,0,0,2,0,0,0,0,1,0,0,60,34,11,0,11
2,SOLO,TOP,0,0,0,0,14,False,3,4,10981,10833,153658,138863,10043,4751,15494,10126,3645,1722,0,492,9,979,9554,19292,9587,9495,210,3525,1,0,0,0,340,217,0,0,0,4,0,0,0,0,1,1,3,22,13,1,0,2
3,NONE,JUNGLE,0,0,0,0,14,False,6,4,9012,8625,98163,23840,65714,8608,14369,925,12588,856,0,344,22,843,8581,19204,14663,4246,294,5895,1,0,0,0,2153,33,70,35,35,5,0,0,0,0,1,1,4,18,7,5,0,4
4,SOLO,MIDDLE,0,0,0,0,14,False,4,3,9095,9050,121413,7810,113156,446,9042,656,8072,314,0,24,0,911,6829,14876,5752,8824,300,2778,1,0,0,0,164,197,0,0,0,2,0,0,0,0,1,1,2,10,8,0,0,4
5,DUO_CARRY,BOTTOM,0,0,0,0,13,False,5,6,9337,8508,111122,91078,20044,0,12008,9429,2579,0,0,2,0,401,4330,13469,8338,4951,180,968,2,0,0,1154,1277,198,4,3,1,2,0,0,0,0,1,0,0,9,5,2,0,1
6,DUO_CARRY,BOTTOM,0,0,0,0,14,True,5,7,12768,11150,147030,143192,1789,2048,17251,16338,600,312,547,258,17,381,5576,16575,6914,8874,786,1594,2,5,0,11442,20065,201,8,7,1,6,1,0,0,0,2,1,2,16,6,4,0,0
7,DUO_SUPPORT,BOTTOM,0,0,0,0,14,True,13,2,9492,8500,29186,8392,15153,5640,4930,917,3385,628,0,133,31,670,13019,14848,10418,4053,376,2506,4,0,0,1541,9304,34,0,0,0,3,0,0,0,0,1,1,3,59,33,5,0,6
8,SOLO,MIDDLE,0,0,0,0,16,True,6,1,13231,13000,156556,16379,140177,0,16671,346,16324,0,0,24,9,1607,8138,8598,3276,4999,322,1660,1,4,0,4893,7580,215,27,3,24,6,0,0,0,0,1,1,6,21,7,5,0,2
9,NONE,JUNGLE,0,0,0,0,14,True,5,3,11615,10275,139976,106935,18824,14216,10701,8965,1204,532,0,929,16,726,19873,24829,18190,5893,745,8118,1,0,0,2284,16682,13,102,65,37,6,0,0,0,0,1,1,3,40,19,4,0,2
10,SOLO,TOP,0,0,0,0,17,True,8,2,13447,12350,165979,51983,113996,0,18570,6166,12404,0,370,131,7,895,8500,20544,11675,7814,1054,10271,4,2,2,6136,8611,253,17,2,15,3,0,0,0,0,1,1,2,27,15,4,0,2
1,DUO_SUPPORT,BOTTOM,0,0,0,0,14,True,16,6,9552,8325,26540,4877,20285,1377,12586,1531,9677,1377,0,200,27,632,10422,13654,8877,3902,874,3389,8,0,0,1861,3171,20,0,0,0,2,0,0,0,0,1,0,0,58,24,4,0,1
2,SOLO,MIDDLE,0,0,0,0,16,True,16,3,11586,10275,121348,17207,101575,2566,19186,1717,16598,870,0,914,21,614,8576,10921,4882,5090,948,1162,1,0,0,3355,6032,199,1,0,1,3,0,0,0,0,1,0,0,23,14,2,0,3
3,DUO_CARRY,BOTTOM,0,0,0,0,15,True,6,6,13730,10450,166623,138598,26141,1884,25232,22249,2326,656,1391,192,30,460,8234,16382,10508,4577,1296,3836,2,6,0,11761,13990,231,3,1,2,8,1,0,0,0,2,2,4,19,9,3,0,2
4,NONE,JUNGLE,0,0,0,0,16,True,5,4,15307,12525,221831,204238,6151,11442,25380,20789,3315,1276,0,562,9,589,16339,27536,19826,6908,801,12893,1,2,1,7374,18537,76,100,72,28,13,3,0,0,0,2,4,4,16,7,2,0,0
5,SOLO,TOP,0,0,0,0,15,True,10,3,10755,9620,105686,23887,81799,0,11484,2908,8575,0,0,1018,46,950,42535,16678,9837,3693,3147,422,1,0,0,532,776,179,11,1,10,1,0,0,0,0,1,0,0,20,12,2,0,0
6,DUO_SUPPORT,BOTTOM,0,0,0,0,13,False,11,5,8022,7350,11481,5022,6186,272,5821,2156,3435,230,0,151,40,985,20330,16067,9618,5766,682,2686,5,0,0,513,1266,8,0,0,0,1,0,0,0,0,1,0,0,64,28,4,0,4
7,NONE,JUNGLE,0,0,0,0,14,False,6,6,10118,9775,138930,24289,103237,11403,9783,1746,6464,1572,0,213,40,860,30357,32172,19591,11305,1276,8196,1,0,0,357,6239,51,110,73,37,3,0,0,0,0,1,1,2,20,8,3,0,2
8,DUO_CARRY,BOTTOM,0,0,0,0,14,False,5,6,11662,11525,132097,122659,2712,6726,17273,16484,782,6,1680,425,25,600,10903,24179,16815,6458,906,4322,4,1,0,2263,22578,204,7,2,5,7,0,0,0,0,1,2,3,16,10,4,0,1
9,SOLO,TOP,0,0,0,0,15,False,1,6,11703,11508,117403,100632,2860,13910,21326,14294,1930,5102,0,187,28,821,18186,29279,14671,14125,482,7907,1,1,0,1937,5904,201,0,0,0,8,1,0,0,0,2,3,2,11,7,1,0,1
10,SOLO,MIDDLE,0,0,0,0,15,False,5,4,10669,10550,98387,32431,65799,156,9419,680,8583,156,0,120,15,1230,16717,21811,14799,6179,832,2730,1,0,0,0,961,212,1,1,0,3,0,0,0,0,1,1,2,18,6,3,0,2
1,SOLO,MIDDLE,0,0,0,0,16,True,5,2,14611,13225,180243,13724,166113,404,26701,1178,25447,75,0,94,18,505,6237,13675,7660,5672,342,3093,1,6,1,8527,11834,213,9,3,6,11,2,0,0,0,2,2,7,19,13,1,0,1
2,DUO_CARRY,BOTTOM,0,0,0,0,15,True,8,5,14564,13750,158917,120558,34368,3989,17550,10584,6228,738,705,522,20,534,14848,20300,12112,7263,924,2648,4,3,0,9017,19578,210,34,8,26,9,2,0,0,0,2,3,3,15,11,1,0,0
3,NONE,JUNGLE,0,0,0,0,16,True,10,5,12912,11325,191066,175946,7164,7954,20121,17573,731,1816,352,922,11,632,13826,24983,15098,8465,1420,7645,1,1,0,6336,11221,85,101,67,34,5,0,0,0,0,1,2,3,13,4,3,0,1
4,DUO_SUPPORT,BOTTOM,0,0,0,0,14,True,21,2,11030,9925,44742,13011,22071,9659,7869,2757,5112,0,0,166,41,1009,22313,13455,7343,5459,652,9152,5,1,0,2251,2990,68,4,0,4,1,0,0,0,0,1,0,0,70,24,13,0,3
5,SOLO,TOP,0,0,0,0,15,True,16,3,12175,11450,109840,22758,87049,32,16462,4226,12236,0,0,1300,70,844,50641,17220,10212,4913,2095,1368,1,0,1,1125,3564,160,13,12,1,2,0,0,0,0,1,0,0,31,11,4,0,0
6,NONE,JUNGLE,0,0,0,0,14,False,11,5,9127,8625,111312,63360,34602,13350,7691,4469,3002,220,0,1002,37,1148,33922,32360,18855,12438,1067,9216,5,0,0,1040,6615,38,79,61,18,0,0,0,0,0,0,0,0,38,17,1,0,2
7,SOLO,TOP,0,0,0,0,14,False,8,3,9792,9650,105612,104270,712,630,11060,10502,558,0,0,193,18,1288,22052,22887,11240,11343,303,2207,1,1,0,1943,1943,183,1,1,0,2,0,0,0,0,1,0,0,10,8,1,0,0
8,SOLO,MIDDLE,0,0,0,0,13,False,3,8,10277,9300,121997,16950,104637,409,17195,1568,15217,409,0,155,27,388,7066,18489,7702,10651,135,1475,1,0,0,0,2563,183,2,1,1,3,0,0,0,0,1,0,0,13,6,1,0,2
9,DUO_CARRY,BOTTOM,0,0,0,0,15,False,0,7,13120,12450,152118,100750,32252,19115,17965,11817,2319,3828,740,174,11,447,11488,21024,11655,8462,906,4789,2,1,0,2119,11353,228,3,3,0,11,1,0,0,0,2,4,3,16,11,3,0,2
10,DUO_SUPPORT,BOTTOM,0,0,0,0,13,False,11,5,8311,8325,38869,9946,27696,1227,10942,1417,8547,977,0,345,25,770,8407,15561,6826,8517,218,1328,5,1,0,919,2632,24,1,0,1,1,0,0,0,0,1,0,0,68,34,8,0,5
1,DUO_SUPPORT,BOTTOM,0,0,0,0,13,True,15,0,9862,8475,38903,17186,9060,12657,9719,5549,3284,886,0,177,34,0,22425,15371,11092,3730,548,4746,5,0,1,1844,9971,50,0,0,0,7,1,0,0,0,2,1,7,62,19,8,0,1
2,SOLO,MIDDLE,0,0,0,0,16,True,11,1,13116,11235,128637,27536,99073,2028,22516,2295,19712,508,0,362,20,1286,10839,16150,10559,4477,1113,2582,1,1,0,2096,2386,198,22,20,2,10,2,0,0,0,2,2,8,18,6,6,0,2
3,NONE,JUNGLE,0,0,0,0,13,True,12,2,9462,7425,114111,99120,6058,8932,9206,8215,258,732,410,489,6,753,11257,21431,16511,4220,698,11904,1,1,1,5613,15632,32,87,43,44,2,0,0,0,0,1,0,0,35,9,2,0,1
4,SOLO,TOP,0,0,0,0,13,True,8,8,10481,9475,63081,53234,6565,3281,15447,11856,2541,1049,738,53,15,476,6138,14165,9942,3388,834,781,1,1,0,1087,6358,106,1,0,1,9,2,0,0,0,2,2,6,12,9,0,0,0
