participantId,role,lane,totalScoreRank,totalPlayerScore,objectivePlayerScore,combatPlayerScore,champLevel,win,assists,deaths,goldEarned,goldSpent,totalDamageDealt,physicalDamageDealt,magicDamageDealt,trueDamageDealt,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,totalTimeCrowdControlDealt,timeCCingOthers,longestTimeSpentLiving,damageSelfMitigated,totalDamageTaken,physicalDamageTaken,magicalDamageTaken,trueDamageTaken,totalHeal,totalUnitsHealed,turretKills,inhibitorKills,damageDealtToTurrets,damageDealtToObjectives,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,kills,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,killingSprees,largestKillingSpree,visionScore,wardsPlaced,wardsKilled,sightWardsBoughtInGame,visionWardsBoughtInGame
8,NONE,JUNGLE,0,0,0,0,15,True,2,6,12666,11075,141381,123206,3196,14979,9995,7035,840,2119,0,552,13,446,15979,28082,16134,9660,2286,8628,1,2,0,1540,8757,34,116,68,48,9,0,0,0,0,1,2,2,20,6,4,0,0
9,SOLO,TOP,0,0,0,0,16,True,6,3,12441,12055,137482,137154,0,327,18112,18112,0,0,0,134,32,934,22280,13505,8717,4615,172,1659,1,1,0,4648,6093,213,14,4,10,5,0,0,0,0,1,2,3,22,11,2,0,1
10,DUO_CARRY,BOTTOM,0,0,0,0,15,True,8,4,12985,11450,146699,138776,7606,315,15460,14130,1329,0,1047,115,21,545,9632,15226,12320,2184,722,5727,4,2,0,6652,17759,194,10,6,4,7,1,0,0,0,2,2,4,22,11,2,0,2
1,SOLO,TOP,0,0,0,0,15,True,10,3,11928,10450,132304,116255,15010,1038,27648,25074,2334,240,680,137,25,767,24415,21371,15927,5047,396,2670,1,1,1,4445,6125,168,17,8,9,6,1,0,0,0,2,2,3,11,9,0,0,0
2,DUO_CARRY,BOTTOM,0,0,0,0,14,True,10,5,11014,9125,98231,82802,14147,1281,15104,12418,2686,0,505,1484,31,491,6995,10574,7222,2796,555,1516,3,1,1,3706,12043,170,9,2,7,4,2,0,0,0,2,2,2,27,12,3,0,3
3,DUO_SUPPORT,BOTTOM,0,0,0,0,14,True,21,2,9576,8150,18161,4670,13148,341,10108,2658,7370,80,0,117,37,761,20103,13427,9082,3148,1197,7601,6,1,0,1111,1905,15,0,0,0,1,0,0,0,0,1,0,0,55,23,7,0,2
4,SOLO,MIDDLE,0,0,0,0,16,True,1,6,15498,15275,171285,19888,150631,765,32204,2348,29529,326,0,20,1,490,10507,21461,12874,8136,451,6318,1,2,0,3347,5614,199,12,8,4,19,5,1,0,0,3,5,7,21,9,2,0,1
5,NONE,JUNGLE,0,0,0,0,16,True,8,0,11273,8153,169085,122477,33563,13044,8727,3480,4102,1144,557,946,12,0,13358,17841,12318,4836,686,6772,1,2,0,7397,18888,63,87,66,21,2,0,0,0,0,1,1,2,25,13,2,0,2
6,DUO_CARRY,BOTTOM,0,0,0,0,13,False,2,8,11773,11100,109086,101671,212,7201,13183,11396,212,1573,437,551,11,564,7502,20105,10811,9294,0,1684,1,1,0,1411,1411,206,6,2,4,8,1,0,0,0,2,1,2,9,4,2,0,0
7,DUO_SUPPORT,BOTTOM,0,0,0,0,13,False,12,7,7741,7300,24591,6896,12132,5562,6041,2042,3999,0,0,111,33,559,24692,17570,11322,6247,0,1917,4,0,0,214,214,40,0,0,0,0,0,0,0,0,0,0,0,51,26,4,0,4
8,SOLO,MIDDLE,0,0,0,0,14,False,4,7,10248,9450,103633,9513,93881,239,9996,581,9415,0,0,2222,20,352,9792,18328,7712,9851,764,4115,1,0,0,1178,1178,185,1,1,0,4,0,0,0,0,1,2,2,20,13,3,0,2
9,SOLO,TOP,0,0,0,0,15,False,7,6,10264,9720,116294,106503,9791,0,14373,12271,2102,0,336,972,39,474,20441,30350,14494,15030,826,3668,1,1,0,2998,2998,187,2,0,2,2,0,0,0,0,1,0,0,16,10,0,0,0
10,NONE,JUNGLE,0,0,0,0,15,False,4,4,10895,10250,208714,113920,82880,11914,14764,6997,6054,1712,0,682,8,831,22265,32042,23862,7980,200,9290,1,1,0,2358,18262,53,157,94,63,2,0,0,0,0,1,0,0,24,10,4,0,2
1,NONE,JUNGLE,0,0,0,0,17,True,11,1,14377,12350,242984,60342,84090,98551,8613,1286,6640,686,0,1271,20,985,66041,47550,28773,15570,3206,29492,5,1,0,1681,30181,62,161,87,74,3,0,0,0,0,1,1,3,22,5,1,0,1
2,DUO_SUPPORT,BOTTOM,0,0,0,0,16,True,21,3,11816,9775,36053,10305,24479,1269,10813,1778,8765,269,0,231,62,1315,27296,25136,13658,9609,1868,11651,9,1,0,1498,5448,48,1,0,1,3,0,0,0,0,1,1,2,59,23,6,0,5
3,SOLO,MIDDLE,0,0,0,0,17,True,13,4,14770,11950,143157,30645,111424,1087,23817,1916,20814,1087,0,210,28,1067,28518,29261,17452,8902,2906,8144,1,2,2,6270,7757,216,5,2,3,7,0,0,0,0,1,2,4,27,13,3,0,4
4,DUO_CARRY,BOTTOM,0,0,0,0,16,True,8,8,15548,14700,201901,197108,1409,3384,28468,26136,1003,1328,699,718,16,422,18051,29068,17559,9518,1991,6481,3,1,0,6025,18861,234,16,9,7,9,1,0,0,0,2,2,5,36,7,4,0,2
5,SOLO,TOP,0,0,0,0,17,True,3,7,15204,15800,154154,135468,15373,3311,21987,16414,4162,1409,1392,67,24,750,13495,22841,13885,5318,3637,3851,1,0,0,2763,8909,202,10,6,4,11,1,0,0,0,2,4,3,33,13,0,0,2
6,DUO_SUPPORT,BOTTOM,0,0,0,0,14,False,13,9,9542,8575,38377,9260,17315,11802,11633,2601,7620,1411,0,187,50,574,28432,28749,20695,7310,743,2952,5,0,0,180,1020,51,1,0,1,2,0,0,0,0,1,0,0,44,20,4,0,3
7,SOLO,TOP,0,0,0,0,17,False,6,6,16122,15525,197864,186311,1002,10551,35407,24557,907,9943,678,358,18,705,50750,36652,22538,10700,3414,9248,1,3,0,3723,3723,286,14,5,9,10,1,0,0,0,2,2,4,60,17,10,0,1
8,NONE,JUNGLE,0,0,0,0,16,False,9,7,12333,12050,184536,49975,126194,8366,24367,5167,17249,1950,0,480,13,578,19920,31125,19938,11187,0,9058,1,0,0,389,4930,23,138,97,41,4,1,0,0,0,2,1,2,21,14,1,0,1
9,SOLO,MIDDLE,0,0,0,0,16,False,9,3,12410,11970,156857,16449,139346,1060,20609,1666,18938,5,0,1548,46,554,15448,15207,5856,9056,294,2188,1,1,0,2056,5872,273,0,0,0,0,0,0,0,0,0,0,0,23,15,3,0,1
10,DUO_CARRY,BOTTOM,0,0,0,0,15,False,7,8,12659,12725,156180,150802,4634,744,21942,21244,397,300,1675,146,18,589,8273,17319,10872,5710,736,2511,4,1,0,2681,5325,201,1,1,0,7,1,0,0,0,2,3,2,32,10,4,0,1
1,DUO_CARRY,BOTTOM,0,0,0,0,15,True,8,5,12906,12810,156168,128942,5871,21353,30923,20496,2396,8030,547,331,26,485,14648,26515,14934,10139,1441,6873,3,1,0,1829,1829,199,26,15,11,6,1,0,0,0,2,2,4,13,8,2,0,0
2,SOLO,TOP,0,0,0,0,16,True,2,5,12211,10975,132822,128442,237,4143,16917,13298,119,3499,0,207,17,384,21312,26590,10112,13334,3144,3261,1,1,0,5759,7139,198,10,0,10,7,1,0,0,0,2,2,3,32,13,1,0,1
3,NONE,JUNGLE,0,0,0,0,15,True,4,4,13220,12325,164199,146804,11467,5927,18373,14981,2554,837,354,445,18,567,17458,28687,17447,9803,1436,11336,1,6,1,8032,19062,62,93,40,53,11,2,0,0,0,2,2,6,43,13,6,0,2
4,SOLO,MIDDLE,0,0,0,0,15,True,3,4,12284,10600,183111,17196,164608,1306,18813,316,17704,792,742,163,5,772,14066,31260,12702,14775,3783,27446,1,0,1,6648,11058,253,7,5,2,4,0,0,0,0,1,0,0,25,7,2,0,0
5,DUO_SUPPORT,BOTTOM,0,0,0,0,12,True,11,3,9685,8750,21599,5043,14878,1677,10709,1581,8420,707,0,233,51,1305,7821,15880,5937,8466,1477,14233,5,0,0,2039,2217,19,0,0,0,2,0,0,0,0,1,1,2,39,14,6,0,0
6,DUO_SUPPORT,BOTTOM,0,0,0,0,12,False,9,7,7876,7225,20939,3627,17311,0,6916,1549,5366,0,0,240,16,580,10951,16063,8553,5847,1661,734,1,1,0,613,613,16,0,0,0,1,0,0,0,0,1,0,0,45,22,3,0,5
7,NONE,JUNGLE,0,0,0,0,14,False,12,5,8502,7375,262689,1979,4111,256598,5698,1715,3284,698,0,82,41,697,10128,16193,10063,4282,1848,6867,6,0,0,261,1204,4,52,45,7,0,0,0,0,0,0,0,0,42,14,4,0,3
8,SOLO,MIDDLE,0,0,0,0,15,False,4,5,10602,9360,134536,15227,77124,42184,24266,2603,15886,5776,0,196,30,553,7936,17853,7493,8622,1737,2436,1,0,0,1001,1001,197,1,1,0,6,0,0,0,0,1,2,2,19,13,1,0,3
9,DUO_CARRY,BOTTOM,0,0,0,0,14,False,3,7,11769,11275,133984,90893,35358,7733,27510,13942,10528,3040,401,562,9,434,11714,19104,9598,7367,2139,2699,3,0,0,2537,3353,192,7,6,1,8,1,0,0,0,2,2,2,3,4,0,0,1
10,SOLO,TOP,0,0,0,0,14,False,4,6,9913,9100,87532,16076,70094,1362,23027,4354,17905,768,0,510,58,470,54858,38110,25861,5769,6479,6755,1,0,0,151,151,155,0,0,0,6,0,0,0,0,1,1,2,19,9,0,0,0
1,DUO_SUPPORT,BOTTOM,0,0,0,0,13,True,19,4,8362,7450,15712,4399,11148,164,6925,1267,5658,0,0,135,24,356,5681,13394,10979,1707,708,9931,5,2,0,1880,3244,6,0,0,0,2,0,0,0,0,1,0,0,35,15,3,0,0
2,NONE,JUNGLE,0,0,0,0,15,True,7,2,12996,11508,173303,134700,22236,16366,20010,15722,2781,1506,0,702,21,736,26544,28940,22680,4763,1496,11353,1,0,0,2238,28921,41,99,56,43,15,2,0,0,0,2,3,11,12,4,2,0,0
3,SOLO,TOP,0,0,0,0,15,True,4,2,11937,11350,122027,104221,16892,913,15307,13376,1930,0,313,138,10,613,9225,15077,12166,1825,1085,3907,1,2,0,7422,7422,190,16,5,11,8,1,0,0,0,2,2,6,11,7,1,0,0
4,SOLO,MIDDLE,0,0,0,0,14,True,6,3,9537,8725,71304,18106,52851,346,13983,2158,11825,0,0,131,17,830,14562,16160,12903,2568,689,2456,1,2,1,3120,3120,138,0,0,0,5,0,0,0,0,1,1,4,15,8,0,0,1
5,DUO_CARRY,BOTTOM,0,0,0,0,13,True,12,3,11644,8100,112898,100242,11843,812,13870,11169,2700,0,553,206,32,470,5915,12643,9619,2609,414,1901,3,1,0,8517,8517,165,1,0,1,7,1,0,0,0,2,2,4,18,8,0,0,2
