participantId,role,lane,totalScoreRank,totalPlayerScore,objectivePlayerScore,combatPlayerScore,champLevel,win,assists,deaths,goldEarned,goldSpent,totalDamageDealt,physicalDamageDealt,magicDamageDealt,trueDamageDealt,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,totalTimeCrowdControlDealt,timeCCingOthers,longestTimeSpentLiving,damageSelfMitigated,totalDamageTaken,physicalDamageTaken,magicalDamageTaken,trueDamageTaken,totalHeal,totalUnitsHealed,turretKills,inhibitorKills,damageDealtToTurrets,damageDealtToObjectives,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,kills,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,killingSprees,largestKillingSpree,visionScore,wardsPlaced,wardsKilled,sightWardsBoughtInGame,visionWardsBoughtInGame
1,NONE,JUNGLE,0,0,0,0,13,False,8,3,9316,8950,112238,24331,78305,9602,13126,2063,10778,284,534,738,30,833,24913,24958,16462,8091,404,11920,1,1,0,1640,7386,25,66,41,25,3,0,0,0,0,1,1,2,43,16,3,0,5
2,DUO_SUPPORT,BOTTOM,0,0,0,0,11,False,12,8,7535,6900,30295,7749,17155,5390,5689,1236,3814,638,0,151,27,279,19282,17854,12378,5374,102,1292,4,2,0,1154,7258,30,1,0,1,0,0,0,0,0,0,0,0,48,22,3,0,4
3,SOLO,MIDDLE,0,0,0,0,15,False,6,9,12015,12025,125694,7906,117787,0,25036,1119,23917,0,0,542,21,279,7175,23198,12345,9901,951,2214,2,0,0,0,1126,185,7,6,1,9,1,0,0,0,2,3,3,22,10,3,0,1
4,SOLO,TOP,0,0,0,0,14,False,2,5,10099,10058,103797,100415,1333,2048,11548,8737,762,2048,340,79,8,553,16640,17921,15045,2426,450,2244,2,0,0,3003,3984,202,4,0,4,3,0,0,0,0,1,0,0,22,13,1,0,3
5,DUO_CARRY,BOTTOM,0,0,0,0,12,False,3,7,11571,11500,116214,113913,1401,900,12310,11527,757,26,308,670,11,544,6935,16317,9314,5705,1297,1902,4,2,0,8186,14353,205,3,1,2,7,2,0,0,0,2,2,3,27,13,2,0,4
6,SOLO,MIDDLE,0,0,0,0,16,True,15,4,13267,10675,154406,16985,137421,0,19324,1448,17876,0,0,923,20,470,9824,14009,6908,6942,158,2260,2,2,0,5864,9530,185,20,2,18,6,0,0,0,0,1,2,3,23,9,3,0,1
7,DUO_CARRY,BOTTOM,0,0,0,0,15,True,12,4,12239,8800,134250,93358,34265,6626,15742,8128,7000,614,437,543,8,473,4628,13313,7326,5622,364,2627,3,5,0,9633,23259,191,19,5,14,6,1,0,0,0,2,1,2,28,12,6,0,2
8,NONE,JUNGLE,0,0,0,0,15,True,10,2,13239,13025,125555,106498,1595,17461,18557,16649,0,1907,0,659,26,792,17431,21922,13458,8192,271,10872,1,0,1,473,7123,33,86,51,35,14,1,0,0,0,2,2,9,44,14,3,0,2
9,DUO_SUPPORT,BOTTOM,0,0,0,0,12,True,12,7,7694,6575,13748,5187,7877,684,4668,1275,2708,684,0,59,14,554,11180,14769,7231,7288,249,2940,6,0,0,1124,2081,11,0,0,0,1,0,0,0,0,1,0,0,44,25,2,0,3
10,SOLO,TOP,0,0,0,0,15,True,13,5,11447,8775,113716,111852,1864,0,17249,15897,1351,0,0,50,18,463,13368,31439,15326,14159,1953,5097,1,1,0,4211,7058,159,6,0,6,5,0,0,0,0,1,1,2,15,11,2,0,1
1,DUO_CARRY,BOTTOM,0,0,0,0,11,True,6,1,9603,8325,85637,81073,785,3779,6564,6033,325,205,323,401,14,942,5027,10513,7669,2206,638,1848,3,4,0,6506,18293,163,2,1,1,4,1,0,0,0,2,2,2,11,7,1,0,1
2,DUO_SUPPORT,BOTTOM,0,0,0,0,9,True,12,2,5873,5075,16350,5296,6968,4084,4817,1304,3384,128,0,72,22,948,8209,12236,8920,2453,862,864,5,2,0,435,3795,23,0,0,0,0,0,0,0,0,0,0,0,49,27,4,0,7
3,NONE,JUNGLE,0,0,0,0,13,True,7,2,10869,8760,106013,25420,67737,12855,14285,1170,12760,354,0,394,15,816,5668,15562,10510,4846,206,5196,1,0,1,2234,12841,18,82,48,34,11,2,1,0,0,3,3,5,32,14,3,0,2
4,SOLO,MIDDLE,0,0,0,0,12,True,12,1,7910,6933,66091,8759,57112,219,10965,1275,9690,0,214,44,1,534,4672,9771,7912,1706,152,398,1,1,0,2663,2663,142,1,0,1,0,0,0,0,0,0,0,0,21,8,3,0,2
5,SOLO,TOP,0,0,0,0,13,True,8,0,9500,8300,88948,9636,78671,639,13065,496,12494,73,0,227,32,0,20652,8342,6639,1047,655,186,1,0,0,2948,2948,175,0,0,0,5,0,0,0,0,1,1,5,25,12,3,0,4
6,SOLO,TOP,0,0,0,0,11,False,2,5,6214,5400,45429,36156,9273,0,4127,2324,1802,0,0,269,12,623,15014,16779,4310,12123,345,200,1,0,0,205,220,119,0,0,0,1,0,0,0,0,1,0,0,9,6,1,0,2
7,DUO_CARRY,BOTTOM,0,0,0,0,11,False,1,2,8003,7725,76368,68968,150,7249,13416,11103,150,2162,261,495,15,752,3427,8852,4126,4616,110,1293,3,1,0,1184,1184,171,0,0,0,4,1,0,0,0,2,1,3,14,7,2,0,1
8,SOLO,MIDDLE,0,0,0,0,11,False,1,5,6634,5800,77676,73762,2795,1119,10420,9824,596,0,0,14,1,448,5609,14581,5124,9240,216,255,1,0,0,1066,2546,158,6,6,0,0,0,0,0,0,0,0,0,15,8,2,0,2
9,DUO_SUPPORT,BOTTOM,0,0,0,0,9,False,5,4,5091,4325,13820,4384,7948,1488,4442,1333,3109,0,0,85,24,636,10216,9811,3355,6415,41,1750,4,0,0,612,2227,11,0,0,0,1,0,0,0,0,1,0,0,42,21,6,0,7
10,NONE,JUNGLE,0,0,0,0,11,False,6,5,6148,5775,87877,15857,64805,7215,6703,465,5887,351,575,268,3,667,6285,18074,10086,7939,48,7459,4,0,0,1287,1377,12,75,40,35,0,0,0,0,0,0,0,0,40,19,2,0,4
1,DUO_CARRY,MIDDLE,0,0,0,0,18,False,7,6,18695,17475,256271,239813,12927,3531,32585,27457,3158,1969,0,308,12,584,18787,31529,17562,13346,620,4115,1,3,0,6626,8526,298,24,16,8,11,1,0,0,0,2,4,3,43,9,13,0,3
2,DUO_CARRY,BOTTOM,0,0,0,0,16,False,7,8,14805,14750,173522,155642,16997,883,18856,14228,4108,519,454,945,76,665,13981,26369,14520,11255,594,5280,4,1,0,3048,15938,245,12,10,2,3,0,0,0,0,1,1,2,43,15,7,0,2
3,DUO_SUPPORT,BOTTOM,0,0,0,0,14,False,9,3,11137,10575,26397,8576,15410,2410,8714,1058,6638,1018,0,202,59,1249,32657,23334,8969,13635,728,7950,5,0,0,884,4371,16,0,0,0,0,0,0,0,0,0,0,0,100,47,12,0,5
4,DUO_SUPPORT,MIDDLE,0,0,0,0,18,False,12,8,16692,16375,271824,31913,221840,18070,28678,1627,25290,1760,1136,467,7,1452,33572,43832,24963,18109,759,20227,5,2,0,3999,32392,77,132,94,38,7,1,0,0,0,2,1,6,43,15,6,0,2
5,SOLO,TOP,0,0,0,0,17,False,11,7,14134,13800,167084,13982,153102,0,24492,1111,23381,0,0,652,86,885,85185,37328,22096,13298,1934,3010,1,0,1,2897,5811,203,1,1,0,5,0,0,0,0,1,2,3,33,29,5,0,12
6,SOLO,MIDDLE,0,0,0,0,18,True,16,6,17703,15960,199940,17284,182455,200,28006,1557,26323,125,0,1029,25,575,17767,19745,8177,11404,163,3543,1,4,0,6662,18196,239,42,24,18,10,2,0,0,0,2,2,5,50,20,6,0,3
7,SOLO,TOP,0,0,0,0,18,True,16,3,17606,16350,233166,33334,197720,2111,28630,4285,24344,0,432,2193,65,1755,63038,31305,16324,12970,2010,13467,1,0,0,2115,6281,306,6,6,0,8,0,0,0,0,1,2,6,40,15,6,0,2
