accountId,role,lane,totalScoreRank,totalPlayerScore,objectivePlayerScore,combatPlayerScore,champLevel,win,assists,deaths,goldEarned,goldSpent,totalDamageDealt,physicalDamageDealt,magicDamageDealt,trueDamageDealt,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,totalTimeCrowdControlDealt,timeCCingOthers,longestTimeSpentLiving,damageSelfMitigated,totalDamageTaken,physicalDamageTaken,magicalDamageTaken,trueDamageTaken,totalHeal,totalUnitsHealed,turretKills,inhibitorKills,damageDealtToTurrets,damageDealtToObjectives,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,kills,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,killingSprees,largestKillingSpree,visionScore,wardsPlaced,wardsKilled,sightWardsBoughtInGame,visionWardsBoughtInGame
36176854,DUO_SUPPORT,BOTTOM,0,0,0,0,13,True,14,5,8674,8500,28083,10123,14607,3352,7425,2944,4480,0,0,165,27,563,17277,17103,9187,7449,466,3858,5,0,0,0,0,43,0,0,0,2,0,0,0,0,1,0,0,64,26,7,0,8
204826824,SOLO,MIDDLE,0,0,0,0,16,True,7,4,15132,11950,169355,18325,151029,0,16905,1885,15020,0,0,165,24,505,6384,16909,7948,8006,954,3932,3,3,1,11113,11630,239,12,11,1,9,1,0,0,0,2,3,4,21,14,3,0,2
31759479,SOLO,TOP,0,0,0,0,16,True,11,4,14010,11675,164541,158947,2413,3180,21571,18614,2413,544,0,527,22,533,26780,30785,19626,9834,1324,12252,1,4,0,7317,9672,212,25,6,19,8,0,0,0,0,1,2,5,27,11,2,0,3
42770493,NONE,JUNGLE,0,0,0,0,15,True,21,4,10981,9395,101319,48222,45988,7108,11015,5107,4901,1006,0,494,38,805,32602,25840,15764,8920,1155,7289,1,0,0,233,634,36,80,53,27,3,0,0,0,0,1,1,3,25,8,4,0,4
37411389,DUO_CARRY,BOTTOM,0,0,0,0,14,True,8,5,12338,9575,105822,98351,6406,1064,23993,22341,1078,574,1696,119,19,666,6605,15064,7235,7342,487,3134,3,0,1,1688,2599,154,7,7,0,11,2,0,0,0,2,2,8,19,9,3,0,1
48133457,NONE,JUNGLE,0,0,0,0,13,False,5,6,10849,10310,113631,31765,72057,9808,19716,4554,13999,1162,0,165,8,1090,18940,23511,16131,6975,404,6537,1,1,0,2003,24471,16,57,51,6,10,0,0,0,0,1,1,8,19,10,1,0,2
202113743,DUO_SUPPORT,BOTTOM,0,0,0,0,12,False,9,8,8407,7825,23603,4417,17654,1531,12136,1100,9504,1531,0,95,58,678,12617,18618,13462,4669,486,850,2,0,0,376,1199,16,0,0,0,2,0,0,0,0,1,0,0,40,16,7,0,1
204725017,SOLO,TOP,0,0,0,0,14,False,4,7,10388,9445,107885,102309,3984,1592,13962,12615,1339,8,0,46,14,647,23267,33160,23654,8847,658,8322,1,1,0,1132,7802,169,4,0,4,4,1,0,0,0,2,1,3,11,7,1,0,1
41467476,SOLO,MIDDLE,0,0,0,0,16,False,9,5,11895,12085,158262,22673,134819,769,17157,1663,14724,769,0,16,1,575,13673,22128,14233,7786,108,6333,1,0,0,427,4465,225,6,5,1,5,0,0,0,0,1,1,4,26,13,2,0,4
31949052,DUO_CARRY,BOTTOM,0,0,0,0,14,False,6,7,10484,10100,140281,137855,522,1903,16191,14871,402,917,1391,202,34,396,8631,19356,16200,2688,468,2793,2,1,0,2394,11506,193,9,7,2,1,0,0,0,0,1,0,0,33,10,2,0,2
333721,DUO_CARRY,BOTTOM,0,0,0,0,15,True,13,3,14656,13400,153149,142239,8019,2890,27188,21897,4346,944,614,2669,56,937,9127,14421,9406,4793,222,2806,4,2,2,8589,14252,203,16,8,8,10,4,0,0,0,2,2,6,36,13,5,0,2
201138934,SOLO,TOP,0,0,0,0,16,True,8,0,12130,11525,110753,29912,80617,224,12851,2358,10492,0,303,1661,34,0,21086,15299,9689,4953,657,8330,1,0,0,767,1659,219,0,0,0,4,1,0,0,0,2,1,4,25,14,1,0,1
204680629,SOLO,MIDDLE,0,0,0,0,16,True,11,4,12700,11355,144213,133154,7323,3736,16293,14554,1556,182,393,116,4,481,9023,18579,8845,7833,1900,1887,1,3,0,6254,12257,215,8,6,2,5,0,0,0,0,1,1,2,38,15,7,0,6
33497225,DUO_SUPPORT,BOTTOM,0,0,0,0,14,True,20,3,10603,9650,26548,5698,19643,1206,7922,1384,5581,956,0,235,20,693,4943,12903,6225,6035,642,2059,3,1,0,1810,2566,15,0,0,0,3,0,0,0,0,1,0,0,71,36,5,0,4
202218980,NONE,JUNGLE,0,0,0,0,15,True,12,5,12763,11975,155762,119653,17081,19027,16715,13917,837,1960,459,834,16,605,11751,26613,18424,7778,410,11650,1,2,0,3526,26263,41,103,61,42,7,0,0,0,0,1,2,2,35,11,6,0,2
201058919,DUO_SUPPORT,BOTTOM,0,0,0,0,13,False,10,5,7184,6975,15944,4261,10707,974,5117,998,3144,974,0,148,13,604,9360,15777,11690,3095,991,2055,3,0,0,0,115,16,0,0,0,0,0,0,0,0,0,0,0,64,35,8,0,6
462357,SOLO,MIDDLE,0,0,0,0,16,False,4,7,12847,12250,166120,20180,144627,1313,16976,880,15173,923,0,286,22,558,18965,21605,16058,4905,642,747,1,1,0,1835,2647,242,10,9,1,4,0,0,0,0,1,1,2,20,10,4,0,2
35253057,DUO_CARRY,BOTTOM,0,0,0,0,14,False,8,7,10418,10050,121779,115643,5242,894,15098,13874,953,270,1357,264,25,588,11673,17507,13188,3681,637,2639,3,0,0,177,883,194,1,1,0,3,0,0,0,0,1,1,2,26,13,4,0,4
202206518,NONE,JUNGLE,0,0,0,0,14,False,4,8,9927,8550,118990,29007,82727,7255,10619,1026,9083,510,0,280,17,614,11925,25889,19483,5546,859,7159,1,0,0,181,4712,27,78,56,22,5,1,0,0,0,2,2,2,30,11,7,0,5
36176854,SOLO,TOP,0,0,0,0,17,False,2,2,13124,12550,233625,231525,0,2100,9604,9450,0,154,776,363,15,1491,22613,25213,17157,7143,913,9670,1,2,0,6586,9918,283,55,11,44,3,0,0,0,0,1,1,2,20,11,3,0,0
200044787,NONE,JUNGLE,0,0,0,0,11,False,1,5,7800,6825,81916,47771,26204,7940,4752,2847,1529,376,0,648,25,615,25072,23093,16607,6189,296,7080,4,0,0,0,11046,14,78,57,21,4,0,0,0,0,1,0,0,17,1,5,0,0
202656997,DUO_SUPPORT,BOTTOM,0,0,0,0,10,False,2,6,4924,4675,10059,4463,5596,0,2583,350,2233,0,0,75,25,523,9923,17011,11495,5193,322,624,3,0,0,0,1076,21,0,0,0,0,0,0,0,0,0,0,0,64,23,7,0,5
40123092,DUO_CARRY,BOTTOM,0,0,0,0,12,False,2,6,7981,7850,97689,88805,8326,558,4847,4546,300,0,1106,277,9,527,8255,16409,10507,5834,68,2048,3,0,0,0,0,175,5,5,0,1,0,0,0,0,1,0,0,3,5,0,0,2
202105600,SOLO,MIDDLE,0,0,0,0,12,False,3,8,6822,5585,58403,7541,50862,0,9238,837,8401,0,0,828,15,272,8804,14773,6942,7688,142,365,1,0,0,0,0,120,2,2,0,1,0,0,0,0,1,0,0,5,4,0,0,0
36176854,SOLO,TOP,0,0,0,0,14,False,3,3,8170,7125,111613,108637,0,2976,6627,6627,0,0,515,59,7,1033,16078,23558,15212,8183,162,6284,1,0,0,296,6374,173,12,3,9,1,0,0,0,0,1,0,0,13,6,0,0,1
48786082,SOLO,MIDDLE,0,0,0,0,15,True,2,2,12291,11110,102765,25227,76471,1068,19110,2901,16103,106,583,111,18,853,4967,13666,7850,5668,148,3486,1,1,0,4288,4288,168,2,1,1,12,1,0,0,0,2,3,7,18,9,1,0,1
32254519,DUO_CARRY,BOTTOM,0,0,0,0,14,True,8,0,13014,10580,174331,154275,19100,956,28533,24561,3875,96,1699,123,14,0,6316,9379,7190,2080,108,3523,3,4,1,11369,16197,206,15,7,8,7,1,0,0,0,2,1,7,23,8,4,0,2
44825471,DUO_SUPPORT,BOTTOM,0,0,0,0,12,True,15,2,8603,6400,12216,6929,4166,1119,2903,1091,1811,0,0,65,23,1165,3485,7720,4837,1883,1000,2726,7,0,0,1599,3377,9,0,0,0,0,0,0,0,0,0,0,0,59,35,5,0,10
201191335,NONE,JUNGLE,0,0,0,0,13,True,9,3,9850,9600,107384,40231,62353,4800,10808,3366,6652,788,0,192,6,869,9830,18063,12286,3656,2120,6106,1,1,0,602,9485,9,86,58,28,3,0,0,0,0,1,1,2,18,10,2,0,1
43917812,SOLO,TOP,0,0,0,0,14,True,5,1,10587,8525,94551,77491,15940,1119,17384,14029,3355,0,0,2293,31,1498,22002,13450,8237,2212,3000,2022,1,1,1,3409,9604,157,2,0,2,6,0,0,0,0,1,1,6,24,11,0,0,1
45428856,NONE,JUNGLE,0,0,0,0,9,False,2,5,5239,5175,61863,45934,10161,5768,2775,2186,570,18,0,551,8,386,9741,16527,12889,2944,694,4685,1,0,0,0,4227,2,65,36,29,1,0,0,0,0,1,0,0,18,10,1,0,4
39103557,DUO_CARRY,BOTTOM,0,0,0,0,10,False,3,3,5468,5300,31355,28362,307,2685,3583,2729,202,651,0,67,5,497,3089,7467,4501,2752,214,1222,3,0,0,0,2085,122,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,0
48777110,SOLO,MIDDLE,0,0,0,0,11,False,2,1,6025,9300,45912,15084,30828,0,6673,285,6388,0,0,114,13,346,7506,12193,5062,6791,340,1718,1,0,0,0,614,124,0,0,0,2,0,0,0,0,1,1,2,13,8,1,0,3
32422379,SOLO,TOP,0,0,0,0,12,False,1,3,6395,6283,56405,42012,14393,0,9804,6229,3574,0,0,46,11,941,7992,12067,8949,2520,597,73,1,0,0,1368,3362,130,0,0,0,3,0,0,0,0,1,1,2,10,8,1,0,2
42753220,DUO_SUPPORT,BOTTOM,0,0,0,0,8,False,3,6,4096,3750,9804,3067,3753,2983,3646,568,3077,0,0,145,16,374,6779,14994,7946,6180,868,1090,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,14,9,0,0,2
201704261,SOLO,TOP,0,0,0,0,11,True,2,3,6860,5950,56853,55438,0,1415,9672,8257,0,1415,0,110,14,665,7358,11766,7286,4324,156,1473,1,0,0,663,663,123,0,0,0,3,0,0,0,0,1,1,2,13,10,0,0,2
201729713,NONE,JUNGLE,0,0,0,0,12,True,11,0,7548,6825,93700,72430,13723,7546,6854,5127,1190,536,0,459,8,0,9663,12820,9299,3484,36,4327,1,0,0,504,5891,33,56,28,28,2,0,0,0,0,1,1,2,23,9,2,0,2
36176854,DUO_SUPPORT,BOTTOM,0,0,0,0,10,True,8,1,5612,5250,15526,5503,6591,3431,3649,1245,2006,398,0,104,18,1024,4465,6115,4670,1249,196,1332,5,0,0,475,475,29,0,0,0,2,0,0,0,0,1,1,2,22,10,1,0,2
200334051,DUO_CARRY,BOTTOM,0,0,0,0,11,True,7,0,7785,7600,92318,85613,2446,4258,10120,9244,656,220,997,124,12,0,3100,6207,4511,1518,178,1338,1,4,0,8265,14615,122,17,8,9,3,1,0,0,0,2,1,3,7,5,1,0,0
201838857,SOLO,MIDDLE,0,0,0,0,11,True,6,2,9351,8275,73774,6312,66985,476,18060,1011,16904,144,0,3235,26,903,3990,12721,7179,5439,103,4950,1,1,0,1837,1837,132,6,2,4,8,2,0,0,0,2,2,6,20,11,1,0,3
