accountId,role,lane,totalScoreRank,totalPlayerScore,objectivePlayerScore,combatPlayerScore,champLevel,win,assists,deaths,goldEarned,goldSpent,totalDamageDealt,physicalDamageDealt,magicDamageDealt,trueDamageDealt,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,totalTimeCrowdControlDealt,timeCCingOthers,longestTimeSpentLiving,damageSelfMitigated,totalDamageTaken,physicalDamageTaken,magicalDamageTaken,trueDamageTaken,totalHeal,totalUnitsHealed,turretKills,inhibitorKills,damageDealtToTurrets,damageDealtToObjectives,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,kills,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,killingSprees,largestKillingSpree,visionScore,wardsPlaced,wardsKilled,sightWardsBoughtInGame,visionWardsBoughtInGame
43969926,DUO_SUPPORT,BOTTOM,0,0,0,0,11,False,3,3,6260,5725,11064,5174,5889,0,3782,1172,2609,0,0,73,15,1130,3951,9408,4785,4536,86,3959,6,0,0,1029,1029,11,0,0,0,3,1,0,0,0,2,1,3,35,15,7,0,5
202322613,SOLO,TOP,0,0,0,0,13,False,0,7,7066,6375,93373,17149,76223,0,9166,1008,8158,0,0,607,14,432,12382,20560,14878,5356,326,5295,1,0,0,1015,1015,152,3,3,0,0,0,0,0,0,0,0,0,7,6,0,0,1
50882373,NONE,JUNGLE,0,0,0,0,11,False,2,6,7001,6533,90298,62677,18978,8642,8833,3166,4597,1068,362,560,17,468,10200,19615,13509,5848,258,4977,1,0,0,0,13394,22,80,34,46,2,0,0,0,0,1,0,0,17,9,3,0,0
38830796,SOLO,MIDDLE,0,0,0,0,12,False,2,6,7544,6950,79307,75002,3932,372,8770,7648,749,372,0,82,2,589,10653,15814,5951,7223,2640,1431,1,0,0,1166,1166,163,0,0,0,2,0,0,0,0,1,0,0,19,11,4,0,2
201114720,DUO_CARRY,BOTTOM,0,0,0,0,12,False,3,2,8192,7650,97374,84371,13003,0,9182,6227,2954,0,0,457,8,773,6144,11468,6516,4448,504,1541,2,0,0,1158,3553,185,2,2,0,1,0,0,0,0,1,0,0,14,8,2,0,0
34431651,NONE,JUNGLE,0,0,0,0,14,True,10,2,10067,8250,127227,35714,82720,8793,11682,2640,8214,828,480,846,32,576,15631,22642,15049,7321,272,11546,1,0,0,2922,2922,21,93,45,48,3,0,0,0,0,1,1,3,23,11,2,0,1
201072654,DUO_CARRY,BOTTOM,0,0,0,0,12,True,4,3,9674,8025,99060,93263,5470,326,9824,9090,408,326,1054,19,4,577,4296,9910,6772,2908,230,2311,3,1,2,5515,5515,159,11,7,4,3,0,0,0,0,1,1,2,14,7,2,0,3
40464236,SOLO,TOP,0,0,0,0,15,True,7,0,13887,13475,139373,134581,3816,975,18237,16474,1665,97,0,224,20,0,16196,14421,9348,4802,270,1158,1,4,0,7049,7049,221,0,0,0,12,0,0,0,0,1,1,12,23,10,3,0,1
201895038,DUO_SUPPORT,BOTTOM,0,0,0,0,12,True,9,1,7552,6550,15494,5339,9233,921,5049,606,3521,921,0,76,25,922,10700,8710,4977,3523,208,867,4,0,0,2140,2140,39,0,0,0,1,0,0,0,0,1,0,0,47,22,3,0,4
42369531,SOLO,MIDDLE,0,0,0,0,14,True,5,2,11547,9510,133398,10321,120069,3007,14413,782,12511,1119,0,469,23,770,5451,10927,8056,2410,460,1053,1,3,0,6067,6067,226,2,2,0,5,0,0,0,0,1,2,2,27,9,4,0,3
200331964,DUO_SUPPORT,BOTTOM,0,0,0,0,12,False,9,3,7587,6825,30727,6051,24034,641,9617,2084,6891,641,0,236,30,391,6043,9752,5085,4523,144,2293,5,0,0,847,1334,18,0,0,0,2,0,0,0,0,1,0,0,59,26,5,0,5
45426989,SOLO,TOP,0,0,0,0,14,False,0,5,8930,8900,75204,73093,1036,1074,6023,4406,542,1074,470,72,4,940,14329,22267,16831,5142,294,2003,2,0,0,233,233,165,2,0,2,3,0,0,0,0,1,0,0,18,10,2,0,0
